schedule_code,collection_date,program_code_array
WB,31/07/2015,R;O
WB,01/08/2015,
WB,02/08/2015,
WB,03/08/2015,
WB,04/08/2015,L;O;S
WB,05/08/2015,L;O;S
WB,06/08/2015,L;O;S
WB,07/08/2015,L;O;S
WB,08/08/2015,L;O;S
WB,09/08/2015,
WB,10/08/2015,R;O
WB,11/08/2015,R;O
WB,12/08/2015,R;O
WB,13/08/2015,R;O
WB,14/08/2015,R;O
WB,15/08/2015,
WB,16/08/2015,
WB,17/08/2015,L;O;S
WB,18/08/2015,L;O;S
WB,19/08/2015,L;O;S
WB,20/08/2015,L;O;S
WB,21/08/2015,L;O;S
WB,22/08/2015,
WB,23/08/2015,
WB,24/08/2015,R;O
WB,25/08/2015,R;O
WB,26/08/2015,R;O
WB,27/08/2015,R;O
WB,28/08/2015,R;O
WB,29/08/2015,
WB,30/08/2015,
WB,31/08/2015,L;O;S
WB,01/09/2015,L;O;S
WB,02/09/2015,L;O;S
WB,03/09/2015,L;O;S
WB,04/09/2015,L;O;S
WB,05/09/2015,
WB,06/09/2015,
WB,07/09/2015,
WB,08/09/2015,R;O
WB,09/09/2015,R;O
WB,10/09/2015,R;O
WB,11/09/2015,R;O
WB,12/09/2015,R;O
WB,13/09/2015,
WB,14/09/2015,L;O;S
WB,15/09/2015,L;O;S
WB,16/09/2015,L;O;S
WB,17/09/2015,L;O;S
WB,18/09/2015,L;O;S
WB,19/09/2015,
WB,20/09/2015,
WB,21/09/2015,R;O
WB,22/09/2015,R;O
WB,23/09/2015,R;O
WB,24/09/2015,R;O
WB,25/09/2015,R;O
WB,26/09/2015,
WB,27/09/2015,
WB,28/09/2015,L;O;S
WB,29/09/2015,L;O;S
WB,30/09/2015,L;O;S
WB,01/10/2015,L;O;S
WB,02/10/2015,L;O;S
WB,03/10/2015,
WB,04/10/2015,
WB,05/10/2015,R;O
WB,06/10/2015,R;O
WB,07/10/2015,R;O
WB,08/10/2015,R;O
WB,09/10/2015,R;O
WB,10/10/2015,
WB,11/10/2015,
WB,12/10/2015,
WB,13/10/2015,L;O;S
WB,14/10/2015,L;O;S
WB,15/10/2015,L;O;S
WB,16/10/2015,L;O;S
WB,17/10/2015,L;O;S
WB,18/10/2015,
WB,19/10/2015,R;O
WB,20/10/2015,R;O
WB,21/10/2015,R;O
WB,22/10/2015,R;O
WB,23/10/2015,R;O
WB,24/10/2015,
WB,25/10/2015,
WB,26/10/2015,L;O;S
WB,27/10/2015,L;O;S
WB,28/10/2015,L;O;S
WB,29/10/2015,L;O;S
WB,30/10/2015,L;O;S
WB,31/10/2015,
WB,01/11/2015,
WB,02/11/2015,R;O
WB,03/11/2015,R;O
WB,04/11/2015,R;O
WB,05/11/2015,R;O
WB,06/11/2015,R;O
WB,07/11/2015,
WB,08/11/2015,
WB,09/11/2015,L;O;S
WB,10/11/2015,L;O;S
WB,11/11/2015,L;O;S
WB,12/11/2015,L;O;S
WB,13/11/2015,L;O;S
WB,14/11/2015,
WB,15/11/2015,
WB,16/11/2015,R;O
WB,17/11/2015,R;O
WB,18/11/2015,R;O
WB,19/11/2015,R;O
WB,20/11/2015,R;O
WB,21/11/2015,
WB,22/11/2015,
WB,23/11/2015,L;O;S
WB,24/11/2015,L;O;S
WB,25/11/2015,L;O;S
WB,26/11/2015,L;O;S
WB,27/11/2015,L;O;S
WB,28/11/2015,
WB,29/11/2015,
WB,30/11/2015,R;O
WB,01/12/2015,R;O
WB,02/12/2015,R;O
WB,03/12/2015,R;O
WB,04/12/2015,R;O
WB,05/12/2015,
WB,06/12/2015,
WB,07/12/2015,L;O;S
WB,08/12/2015,L;O;S
WB,09/12/2015,L;O;S
WB,10/12/2015,L;O;S
WB,11/12/2015,L;O;S
WB,12/12/2015,
WB,13/12/2015,
WB,14/12/2015,R;O
WB,15/12/2015,R;O
WB,16/12/2015,R;O
WB,17/12/2015,R;O
